cell_id,char,page,row,col,raw_path,norm_64_path,class_path
p1_r01_c11_Ә,Ә,1,1,11,cells_raw_100x100/p1_r01_c11_Ә.png,cells_64x64/p1_r01_c11_Ә.png,by_class/Ә/p1_r01_c11_Ә.png
p1_r01_c12_Ә,Ә,1,1,12,cells_raw_100x100/p1_r01_c12_Ә.png,cells_64x64/p1_r01_c12_Ә.png,by_class/Ә/p1_r01_c12_Ә.png
p1_r01_c13_Ә,Ә,1,1,13,cells_raw_100x100/p1_r01_c13_Ә.png,cells_64x64/p1_r01_c13_Ә.png,by_class/Ә/p1_r01_c13_Ә.png
p1_r01_c14_Ә,Ә,1,1,14,cells_raw_100x100/p1_r01_c14_Ә.png,cells_64x64/p1_r01_c14_Ә.png,by_class/Ә/p1_r01_c14_Ә.png
p1_r01_c15_Ә,Ә,1,1,15,cells_raw_100x100/p1_r01_c15_Ә.png,cells_64x64/p1_r01_c15_Ә.png,by_class/Ә/p1_r01_c15_Ә.png
p1_r01_c16_Ә,Ә,1,1,16,cells_raw_100x100/p1_r01_c16_Ә.png,cells_64x64/p1_r01_c16_Ә.png,by_class/Ә/p1_r01_c16_Ә.png
p1_r01_c17_Ә,Ә,1,1,17,cells_raw_100x100/p1_r01_c17_Ә.png,cells_64x64/p1_r01_c17_Ә.png,by_class/Ә/p1_r01_c17_Ә.png
p1_r02_c01_Ә,Ә,1,2,1,cells_raw_100x100/p1_r02_c01_Ә.png,cells_64x64/p1_r02_c01_Ә.png,by_class/Ә/p1_r02_c01_Ә.png
p1_r02_c02_Ә,Ә,1,2,2,cells_raw_100x100/p1_r02_c02_Ә.png,cells_64x64/p1_r02_c02_Ә.png,by_class/Ә/p1_r02_c02_Ә.png
p1_r02_c03_Ә,Ә,1,2,3,cells_raw_100x100/p1_r02_c03_Ә.png,cells_64x64/p1_r02_c03_Ә.png,by_class/Ә/p1_r02_c03_Ә.png
p1_r02_c04_Ә,Ә,1,2,4,cells_raw_100x100/p1_r02_c04_Ә.png,cells_64x64/p1_r02_c04_Ә.png,by_class/Ә/p1_r02_c04_Ә.png
p1_r02_c05_Ә,Ә,1,2,5,cells_raw_100x100/p1_r02_c05_Ә.png,cells_64x64/p1_r02_c05_Ә.png,by_class/Ә/p1_r02_c05_Ә.png
p1_r02_c06_Ә,Ә,1,2,6,cells_raw_100x100/p1_r02_c06_Ә.png,cells_64x64/p1_r02_c06_Ә.png,by_class/Ә/p1_r02_c06_Ә.png
p1_r02_c07_Ә,Ә,1,2,7,cells_raw_100x100/p1_r02_c07_Ә.png,cells_64x64/p1_r02_c07_Ә.png,by_class/Ә/p1_r02_c07_Ә.png
p1_r02_c08_Ә,Ә,1,2,8,cells_raw_100x100/p1_r02_c08_Ә.png,cells_64x64/p1_r02_c08_Ә.png,by_class/Ә/p1_r02_c08_Ә.png
p1_r02_c09_Ә,Ә,1,2,9,cells_raw_100x100/p1_r02_c09_Ә.png,cells_64x64/p1_r02_c09_Ә.png,by_class/Ә/p1_r02_c09_Ә.png
p1_r02_c10_Ә,Ә,1,2,10,cells_raw_100x100/p1_r02_c10_Ә.png,cells_64x64/p1_r02_c10_Ә.png,by_class/Ә/p1_r02_c10_Ә.png
p1_r02_c11_Ә,Ә,1,2,11,cells_raw_100x100/p1_r02_c11_Ә.png,cells_64x64/p1_r02_c11_Ә.png,by_class/Ә/p1_r02_c11_Ә.png
p1_r02_c12_Ә,Ә,1,2,12,cells_raw_100x100/p1_r02_c12_Ә.png,cells_64x64/p1_r02_c12_Ә.png,by_class/Ә/p1_r02_c12_Ә.png
p1_r02_c13_Ә,Ә,1,2,13,cells_raw_100x100/p1_r02_c13_Ә.png,cells_64x64/p1_r02_c13_Ә.png,by_class/Ә/p1_r02_c13_Ә.png
p1_r02_c14_Ә,Ә,1,2,14,cells_raw_100x100/p1_r02_c14_Ә.png,cells_64x64/p1_r02_c14_Ә.png,by_class/Ә/p1_r02_c14_Ә.png
p1_r02_c15_Ә,Ә,1,2,15,cells_raw_100x100/p1_r02_c15_Ә.png,cells_64x64/p1_r02_c15_Ә.png,by_class/Ә/p1_r02_c15_Ә.png
p1_r02_c16_Ә,Ә,1,2,16,cells_raw_100x100/p1_r02_c16_Ә.png,cells_64x64/p1_r02_c16_Ә.png,by_class/Ә/p1_r02_c16_Ә.png
p1_r02_c17_Ә,Ә,1,2,17,cells_raw_100x100/p1_r02_c17_Ә.png,cells_64x64/p1_r02_c17_Ә.png,by_class/Ә/p1_r02_c17_Ә.png
p1_r03_c01_Ә,Ә,1,3,1,cells_raw_100x100/p1_r03_c01_Ә.png,cells_64x64/p1_r03_c01_Ә.png,by_class/Ә/p1_r03_c01_Ә.png
p1_r03_c02_Ә,Ә,1,3,2,cells_raw_100x100/p1_r03_c02_Ә.png,cells_64x64/p1_r03_c02_Ә.png,by_class/Ә/p1_r03_c02_Ә.png
p1_r03_c03_Ә,Ә,1,3,3,cells_raw_100x100/p1_r03_c03_Ә.png,cells_64x64/p1_r03_c03_Ә.png,by_class/Ә/p1_r03_c03_Ә.png
p1_r03_c04_Ә,Ә,1,3,4,cells_raw_100x100/p1_r03_c04_Ә.png,cells_64x64/p1_r03_c04_Ә.png,by_class/Ә/p1_r03_c04_Ә.png
p1_r03_c05_Ә,Ә,1,3,5,cells_raw_100x100/p1_r03_c05_Ә.png,cells_64x64/p1_r03_c05_Ә.png,by_class/Ә/p1_r03_c05_Ә.png
p1_r03_c06_Ә,Ә,1,3,6,cells_raw_100x100/p1_r03_c06_Ә.png,cells_64x64/p1_r03_c06_Ә.png,by_class/Ә/p1_r03_c06_Ә.png
p1_r03_c07_Ә,Ә,1,3,7,cells_raw_100x100/p1_r03_c07_Ә.png,cells_64x64/p1_r03_c07_Ә.png,by_class/Ә/p1_r03_c07_Ә.png
p1_r03_c08_Ә,Ә,1,3,8,cells_raw_100x100/p1_r03_c08_Ә.png,cells_64x64/p1_r03_c08_Ә.png,by_class/Ә/p1_r03_c08_Ә.png
p1_r03_c09_Ә,Ә,1,3,9,cells_raw_100x100/p1_r03_c09_Ә.png,cells_64x64/p1_r03_c09_Ә.png,by_class/Ә/p1_r03_c09_Ә.png
p1_r03_c10_Ә,Ә,1,3,10,cells_raw_100x100/p1_r03_c10_Ә.png,cells_64x64/p1_r03_c10_Ә.png,by_class/Ә/p1_r03_c10_Ә.png
p1_r03_c11_Ә,Ә,1,3,11,cells_raw_100x100/p1_r03_c11_Ә.png,cells_64x64/p1_r03_c11_Ә.png,by_class/Ә/p1_r03_c11_Ә.png
p1_r03_c12_Ә,Ә,1,3,12,cells_raw_100x100/p1_r03_c12_Ә.png,cells_64x64/p1_r03_c12_Ә.png,by_class/Ә/p1_r03_c12_Ә.png
p1_r03_c13_Ә,Ә,1,3,13,cells_raw_100x100/p1_r03_c13_Ә.png,cells_64x64/p1_r03_c13_Ә.png,by_class/Ә/p1_r03_c13_Ә.png
p1_r03_c14_Ә,Ә,1,3,14,cells_raw_100x100/p1_r03_c14_Ә.png,cells_64x64/p1_r03_c14_Ә.png,by_class/Ә/p1_r03_c14_Ә.png
p1_r03_c15_Ә,Ә,1,3,15,cells_raw_100x100/p1_r03_c15_Ә.png,cells_64x64/p1_r03_c15_Ә.png,by_class/Ә/p1_r03_c15_Ә.png
p1_r03_c16_Ә,Ә,1,3,16,cells_raw_100x100/p1_r03_c16_Ә.png,cells_64x64/p1_r03_c16_Ә.png,by_class/Ә/p1_r03_c16_Ә.png
p1_r03_c17_Ә,Ә,1,3,17,cells_raw_100x100/p1_r03_c17_Ә.png,cells_64x64/p1_r03_c17_Ә.png,by_class/Ә/p1_r03_c17_Ә.png
p1_r04_c01_Ә,Ә,1,4,1,cells_raw_100x100/p1_r04_c01_Ә.png,cells_64x64/p1_r04_c01_Ә.png,by_class/Ә/p1_r04_c01_Ә.png
p1_r04_c02_Ә,Ә,1,4,2,cells_raw_100x100/p1_r04_c02_Ә.png,cells_64x64/p1_r04_c02_Ә.png,by_class/Ә/p1_r04_c02_Ә.png
p1_r04_c03_Ә,Ә,1,4,3,cells_raw_100x100/p1_r04_c03_Ә.png,cells_64x64/p1_r04_c03_Ә.png,by_class/Ә/p1_r04_c03_Ә.png
p1_r04_c04_Ә,Ә,1,4,4,cells_raw_100x100/p1_r04_c04_Ә.png,cells_64x64/p1_r04_c04_Ә.png,by_class/Ә/p1_r04_c04_Ә.png
p1_r04_c05_Ә,Ә,1,4,5,cells_raw_100x100/p1_r04_c05_Ә.png,cells_64x64/p1_r04_c05_Ә.png,by_class/Ә/p1_r04_c05_Ә.png
p1_r04_c06_Ә,Ә,1,4,6,cells_raw_100x100/p1_r04_c06_Ә.png,cells_64x64/p1_r04_c06_Ә.png,by_class/Ә/p1_r04_c06_Ә.png
p1_r04_c07_Ә,Ә,1,4,7,cells_raw_100x100/p1_r04_c07_Ә.png,cells_64x64/p1_r04_c07_Ә.png,by_class/Ә/p1_r04_c07_Ә.png
p1_r04_c08_Ә,Ә,1,4,8,cells_raw_100x100/p1_r04_c08_Ә.png,cells_64x64/p1_r04_c08_Ә.png,by_class/Ә/p1_r04_c08_Ә.png
p1_r04_c09_Ә,Ә,1,4,9,cells_raw_100x100/p1_r04_c09_Ә.png,cells_64x64/p1_r04_c09_Ә.png,by_class/Ә/p1_r04_c09_Ә.png
p1_r04_c10_Ә,Ә,1,4,10,cells_raw_100x100/p1_r04_c10_Ә.png,cells_64x64/p1_r04_c10_Ә.png,by_class/Ә/p1_r04_c10_Ә.png
p1_r04_c11_Ә,Ә,1,4,11,cells_raw_100x100/p1_r04_c11_Ә.png,cells_64x64/p1_r04_c11_Ә.png,by_class/Ә/p1_r04_c11_Ә.png
p1_r04_c12_Ә,Ә,1,4,12,cells_raw_100x100/p1_r04_c12_Ә.png,cells_64x64/p1_r04_c12_Ә.png,by_class/Ә/p1_r04_c12_Ә.png
p1_r04_c13_Ә,Ә,1,4,13,cells_raw_100x100/p1_r04_c13_Ә.png,cells_64x64/p1_r04_c13_Ә.png,by_class/Ә/p1_r04_c13_Ә.png
p1_r04_c14_Ә,Ә,1,4,14,cells_raw_100x100/p1_r04_c14_Ә.png,cells_64x64/p1_r04_c14_Ә.png,by_class/Ә/p1_r04_c14_Ә.png
p1_r04_c15_Ә,Ә,1,4,15,cells_raw_100x100/p1_r04_c15_Ә.png,cells_64x64/p1_r04_c15_Ә.png,by_class/Ә/p1_r04_c15_Ә.png
p1_r04_c16_Ә,Ә,1,4,16,cells_raw_100x100/p1_r04_c16_Ә.png,cells_64x64/p1_r04_c16_Ә.png,by_class/Ә/p1_r04_c16_Ә.png
p1_r04_c17_Ә,Ә,1,4,17,cells_raw_100x100/p1_r04_c17_Ә.png,cells_64x64/p1_r04_c17_Ә.png,by_class/Ә/p1_r04_c17_Ә.png
p1_r05_c01_Ә,Ә,1,5,1,cells_raw_100x100/p1_r05_c01_Ә.png,cells_64x64/p1_r05_c01_Ә.png,by_class/Ә/p1_r05_c01_Ә.png
p1_r05_c02_Ә,Ә,1,5,2,cells_raw_100x100/p1_r05_c02_Ә.png,cells_64x64/p1_r05_c02_Ә.png,by_class/Ә/p1_r05_c02_Ә.png
p1_r05_c03_Ә,Ә,1,5,3,cells_raw_100x100/p1_r05_c03_Ә.png,cells_64x64/p1_r05_c03_Ә.png,by_class/Ә/p1_r05_c03_Ә.png
p1_r05_c04_Ә,Ә,1,5,4,cells_raw_100x100/p1_r05_c04_Ә.png,cells_64x64/p1_r05_c04_Ә.png,by_class/Ә/p1_r05_c04_Ә.png
p1_r05_c05_Ә,Ә,1,5,5,cells_raw_100x100/p1_r05_c05_Ә.png,cells_64x64/p1_r05_c05_Ә.png,by_class/Ә/p1_r05_c05_Ә.png
p1_r05_c06_Ә,Ә,1,5,6,cells_raw_100x100/p1_r05_c06_Ә.png,cells_64x64/p1_r05_c06_Ә.png,by_class/Ә/p1_r05_c06_Ә.png
p1_r05_c07_Ә,Ә,1,5,7,cells_raw_100x100/p1_r05_c07_Ә.png,cells_64x64/p1_r05_c07_Ә.png,by_class/Ә/p1_r05_c07_Ә.png
p1_r05_c08_Ә,Ә,1,5,8,cells_raw_100x100/p1_r05_c08_Ә.png,cells_64x64/p1_r05_c08_Ә.png,by_class/Ә/p1_r05_c08_Ә.png
p1_r05_c09_Ә,Ә,1,5,9,cells_raw_100x100/p1_r05_c09_Ә.png,cells_64x64/p1_r05_c09_Ә.png,by_class/Ә/p1_r05_c09_Ә.png
p1_r05_c10_Ә,Ә,1,5,10,cells_raw_100x100/p1_r05_c10_Ә.png,cells_64x64/p1_r05_c10_Ә.png,by_class/Ә/p1_r05_c10_Ә.png
p1_r05_c11_Ә,Ә,1,5,11,cells_raw_100x100/p1_r05_c11_Ә.png,cells_64x64/p1_r05_c11_Ә.png,by_class/Ә/p1_r05_c11_Ә.png
p1_r05_c12_Ә,Ә,1,5,12,cells_raw_100x100/p1_r05_c12_Ә.png,cells_64x64/p1_r05_c12_Ә.png,by_class/Ә/p1_r05_c12_Ә.png
p1_r05_c13_Ә,Ә,1,5,13,cells_raw_100x100/p1_r05_c13_Ә.png,cells_64x64/p1_r05_c13_Ә.png,by_class/Ә/p1_r05_c13_Ә.png
p1_r05_c14_Ә,Ә,1,5,14,cells_raw_100x100/p1_r05_c14_Ә.png,cells_64x64/p1_r05_c14_Ә.png,by_class/Ә/p1_r05_c14_Ә.png
p1_r05_c15_Ә,Ә,1,5,15,cells_raw_100x100/p1_r05_c15_Ә.png,cells_64x64/p1_r05_c15_Ә.png,by_class/Ә/p1_r05_c15_Ә.png
p1_r05_c16_Ә,Ә,1,5,16,cells_raw_100x100/p1_r05_c16_Ә.png,cells_64x64/p1_r05_c16_Ә.png,by_class/Ә/p1_r05_c16_Ә.png
p1_r05_c17_Ә,Ә,1,5,17,cells_raw_100x100/p1_r05_c17_Ә.png,cells_64x64/p1_r05_c17_Ә.png,by_class/Ә/p1_r05_c17_Ә.png
p1_r06_c01_Җ,Җ,1,6,1,cells_raw_100x100/p1_r06_c01_Җ.png,cells_64x64/p1_r06_c01_Җ.png,by_class/Җ/p1_r06_c01_Җ.png
p1_r06_c02_Җ,Җ,1,6,2,cells_raw_100x100/p1_r06_c02_Җ.png,cells_64x64/p1_r06_c02_Җ.png,by_class/Җ/p1_r06_c02_Җ.png
p1_r06_c03_Җ,Җ,1,6,3,cells_raw_100x100/p1_r06_c03_Җ.png,cells_64x64/p1_r06_c03_Җ.png,by_class/Җ/p1_r06_c03_Җ.png
p1_r06_c04_Җ,Җ,1,6,4,cells_raw_100x100/p1_r06_c04_Җ.png,cells_64x64/p1_r06_c04_Җ.png,by_class/Җ/p1_r06_c04_Җ.png
p1_r06_c05_Җ,Җ,1,6,5,cells_raw_100x100/p1_r06_c05_Җ.png,cells_64x64/p1_r06_c05_Җ.png,by_class/Җ/p1_r06_c05_Җ.png
p1_r06_c06_Җ,Җ,1,6,6,cells_raw_100x100/p1_r06_c06_Җ.png,cells_64x64/p1_r06_c06_Җ.png,by_class/Җ/p1_r06_c06_Җ.png
p1_r06_c07_Җ,Җ,1,6,7,cells_raw_100x100/p1_r06_c07_Җ.png,cells_64x64/p1_r06_c07_Җ.png,by_class/Җ/p1_r06_c07_Җ.png
p1_r06_c08_Җ,Җ,1,6,8,cells_raw_100x100/p1_r06_c08_Җ.png,cells_64x64/p1_r06_c08_Җ.png,by_class/Җ/p1_r06_c08_Җ.png
p1_r06_c09_Җ,Җ,1,6,9,cells_raw_100x100/p1_r06_c09_Җ.png,cells_64x64/p1_r06_c09_Җ.png,by_class/Җ/p1_r06_c09_Җ.png
p1_r06_c10_Җ,Җ,1,6,10,cells_raw_100x100/p1_r06_c10_Җ.png,cells_64x64/p1_r06_c10_Җ.png,by_class/Җ/p1_r06_c10_Җ.png
p1_r06_c11_Җ,Җ,1,6,11,cells_raw_100x100/p1_r06_c11_Җ.png,cells_64x64/p1_r06_c11_Җ.png,by_class/Җ/p1_r06_c11_Җ.png
p1_r06_c12_Җ,Җ,1,6,12,cells_raw_100x100/p1_r06_c12_Җ.png,cells_64x64/p1_r06_c12_Җ.png,by_class/Җ/p1_r06_c12_Җ.png
p1_r06_c13_Җ,Җ,1,6,13,cells_raw_100x100/p1_r06_c13_Җ.png,cells_64x64/p1_r06_c13_Җ.png,by_class/Җ/p1_r06_c13_Җ.png
p1_r06_c14_Җ,Җ,1,6,14,cells_raw_100x100/p1_r06_c14_Җ.png,cells_64x64/p1_r06_c14_Җ.png,by_class/Җ/p1_r06_c14_Җ.png
p1_r06_c15_Җ,Җ,1,6,15,cells_raw_100x100/p1_r06_c15_Җ.png,cells_64x64/p1_r06_c15_Җ.png,by_class/Җ/p1_r06_c15_Җ.png
p1_r06_c16_Җ,Җ,1,6,16,cells_raw_100x100/p1_r06_c16_Җ.png,cells_64x64/p1_r06_c16_Җ.png,by_class/Җ/p1_r06_c16_Җ.png
p1_r06_c17_Җ,Җ,1,6,17,cells_raw_100x100/p1_r06_c17_Җ.png,cells_64x64/p1_r06_c17_Җ.png,by_class/Җ/p1_r06_c17_Җ.png
p1_r07_c01_Җ,Җ,1,7,1,cells_raw_100x100/p1_r07_c01_Җ.png,cells_64x64/p1_r07_c01_Җ.png,by_class/Җ/p1_r07_c01_Җ.png
p1_r07_c02_Җ,Җ,1,7,2,cells_raw_100x100/p1_r07_c02_Җ.png,cells_64x64/p1_r07_c02_Җ.png,by_class/Җ/p1_r07_c02_Җ.png
p1_r07_c03_Җ,Җ,1,7,3,cells_raw_100x100/p1_r07_c03_Җ.png,cells_64x64/p1_r07_c03_Җ.png,by_class/Җ/p1_r07_c03_Җ.png
p1_r07_c04_Җ,Җ,1,7,4,cells_raw_100x100/p1_r07_c04_Җ.png,cells_64x64/p1_r07_c04_Җ.png,by_class/Җ/p1_r07_c04_Җ.png
p1_r07_c05_Җ,Җ,1,7,5,cells_raw_100x100/p1_r07_c05_Җ.png,cells_64x64/p1_r07_c05_Җ.png,by_class/Җ/p1_r07_c05_Җ.png
p1_r07_c06_Җ,Җ,1,7,6,cells_raw_100x100/p1_r07_c06_Җ.png,cells_64x64/p1_r07_c06_Җ.png,by_class/Җ/p1_r07_c06_Җ.png
p1_r07_c07_Җ,Җ,1,7,7,cells_raw_100x100/p1_r07_c07_Җ.png,cells_64x64/p1_r07_c07_Җ.png,by_class/Җ/p1_r07_c07_Җ.png
p1_r07_c08_Җ,Җ,1,7,8,cells_raw_100x100/p1_r07_c08_Җ.png,cells_64x64/p1_r07_c08_Җ.png,by_class/Җ/p1_r07_c08_Җ.png
p1_r07_c09_Җ,Җ,1,7,9,cells_raw_100x100/p1_r07_c09_Җ.png,cells_64x64/p1_r07_c09_Җ.png,by_class/Җ/p1_r07_c09_Җ.png
p1_r07_c10_Җ,Җ,1,7,10,cells_raw_100x100/p1_r07_c10_Җ.png,cells_64x64/p1_r07_c10_Җ.png,by_class/Җ/p1_r07_c10_Җ.png
p1_r07_c11_Җ,Җ,1,7,11,cells_raw_100x100/p1_r07_c11_Җ.png,cells_64x64/p1_r07_c11_Җ.png,by_class/Җ/p1_r07_c11_Җ.png
p1_r07_c12_Җ,Җ,1,7,12,cells_raw_100x100/p1_r07_c12_Җ.png,cells_64x64/p1_r07_c12_Җ.png,by_class/Җ/p1_r07_c12_Җ.png
p1_r07_c13_Җ,Җ,1,7,13,cells_raw_100x100/p1_r07_c13_Җ.png,cells_64x64/p1_r07_c13_Җ.png,by_class/Җ/p1_r07_c13_Җ.png
p1_r07_c14_Җ,Җ,1,7,14,cells_raw_100x100/p1_r07_c14_Җ.png,cells_64x64/p1_r07_c14_Җ.png,by_class/Җ/p1_r07_c14_Җ.png
p1_r07_c15_Җ,Җ,1,7,15,cells_raw_100x100/p1_r07_c15_Җ.png,cells_64x64/p1_r07_c15_Җ.png,by_class/Җ/p1_r07_c15_Җ.png
p1_r07_c16_Җ,Җ,1,7,16,cells_raw_100x100/p1_r07_c16_Җ.png,cells_64x64/p1_r07_c16_Җ.png,by_class/Җ/p1_r07_c16_Җ.png
p1_r07_c17_Җ,Җ,1,7,17,cells_raw_100x100/p1_r07_c17_Җ.png,cells_64x64/p1_r07_c17_Җ.png,by_class/Җ/p1_r07_c17_Җ.png
p1_r08_c01_Җ,Җ,1,8,1,cells_raw_100x100/p1_r08_c01_Җ.png,cells_64x64/p1_r08_c01_Җ.png,by_class/Җ/p1_r08_c01_Җ.png
p1_r08_c02_Җ,Җ,1,8,2,cells_raw_100x100/p1_r08_c02_Җ.png,cells_64x64/p1_r08_c02_Җ.png,by_class/Җ/p1_r08_c02_Җ.png
p1_r08_c03_Җ,Җ,1,8,3,cells_raw_100x100/p1_r08_c03_Җ.png,cells_64x64/p1_r08_c03_Җ.png,by_class/Җ/p1_r08_c03_Җ.png
p1_r08_c04_Җ,Җ,1,8,4,cells_raw_100x100/p1_r08_c04_Җ.png,cells_64x64/p1_r08_c04_Җ.png,by_class/Җ/p1_r08_c04_Җ.png
p1_r08_c05_Җ,Җ,1,8,5,cells_raw_100x100/p1_r08_c05_Җ.png,cells_64x64/p1_r08_c05_Җ.png,by_class/Җ/p1_r08_c05_Җ.png
p1_r08_c06_Җ,Җ,1,8,6,cells_raw_100x100/p1_r08_c06_Җ.png,cells_64x64/p1_r08_c06_Җ.png,by_class/Җ/p1_r08_c06_Җ.png
p1_r08_c07_Җ,Җ,1,8,7,cells_raw_100x100/p1_r08_c07_Җ.png,cells_64x64/p1_r08_c07_Җ.png,by_class/Җ/p1_r08_c07_Җ.png
p1_r08_c08_Җ,Җ,1,8,8,cells_raw_100x100/p1_r08_c08_Җ.png,cells_64x64/p1_r08_c08_Җ.png,by_class/Җ/p1_r08_c08_Җ.png
p1_r08_c09_Җ,Җ,1,8,9,cells_raw_100x100/p1_r08_c09_Җ.png,cells_64x64/p1_r08_c09_Җ.png,by_class/Җ/p1_r08_c09_Җ.png
p1_r08_c10_Җ,Җ,1,8,10,cells_raw_100x100/p1_r08_c10_Җ.png,cells_64x64/p1_r08_c10_Җ.png,by_class/Җ/p1_r08_c10_Җ.png
p1_r08_c11_Җ,Җ,1,8,11,cells_raw_100x100/p1_r08_c11_Җ.png,cells_64x64/p1_r08_c11_Җ.png,by_class/Җ/p1_r08_c11_Җ.png
p1_r08_c12_Җ,Җ,1,8,12,cells_raw_100x100/p1_r08_c12_Җ.png,cells_64x64/p1_r08_c12_Җ.png,by_class/Җ/p1_r08_c12_Җ.png
p1_r08_c13_Җ,Җ,1,8,13,cells_raw_100x100/p1_r08_c13_Җ.png,cells_64x64/p1_r08_c13_Җ.png,by_class/Җ/p1_r08_c13_Җ.png
p1_r08_c14_Җ,Җ,1,8,14,cells_raw_100x100/p1_r08_c14_Җ.png,cells_64x64/p1_r08_c14_Җ.png,by_class/Җ/p1_r08_c14_Җ.png
p1_r08_c15_Җ,Җ,1,8,15,cells_raw_100x100/p1_r08_c15_Җ.png,cells_64x64/p1_r08_c15_Җ.png,by_class/Җ/p1_r08_c15_Җ.png
p1_r08_c16_Җ,Җ,1,8,16,cells_raw_100x100/p1_r08_c16_Җ.png,cells_64x64/p1_r08_c16_Җ.png,by_class/Җ/p1_r08_c16_Җ.png
p1_r08_c17_Җ,Җ,1,8,17,cells_raw_100x100/p1_r08_c17_Җ.png,cells_64x64/p1_r08_c17_Җ.png,by_class/Җ/p1_r08_c17_Җ.png
p1_r09_c01_Җ,Җ,1,9,1,cells_raw_100x100/p1_r09_c01_Җ.png,cells_64x64/p1_r09_c01_Җ.png,by_class/Җ/p1_r09_c01_Җ.png
p1_r09_c02_Җ,Җ,1,9,2,cells_raw_100x100/p1_r09_c02_Җ.png,cells_64x64/p1_r09_c02_Җ.png,by_class/Җ/p1_r09_c02_Җ.png
p1_r09_c03_Җ,Җ,1,9,3,cells_raw_100x100/p1_r09_c03_Җ.png,cells_64x64/p1_r09_c03_Җ.png,by_class/Җ/p1_r09_c03_Җ.png
p1_r09_c04_Җ,Җ,1,9,4,cells_raw_100x100/p1_r09_c04_Җ.png,cells_64x64/p1_r09_c04_Җ.png,by_class/Җ/p1_r09_c04_Җ.png
p1_r09_c05_Җ,Җ,1,9,5,cells_raw_100x100/p1_r09_c05_Җ.png,cells_64x64/p1_r09_c05_Җ.png,by_class/Җ/p1_r09_c05_Җ.png
p1_r09_c06_Җ,Җ,1,9,6,cells_raw_100x100/p1_r09_c06_Җ.png,cells_64x64/p1_r09_c06_Җ.png,by_class/Җ/p1_r09_c06_Җ.png
p1_r09_c07_Җ,Җ,1,9,7,cells_raw_100x100/p1_r09_c07_Җ.png,cells_64x64/p1_r09_c07_Җ.png,by_class/Җ/p1_r09_c07_Җ.png
p1_r09_c08_Җ,Җ,1,9,8,cells_raw_100x100/p1_r09_c08_Җ.png,cells_64x64/p1_r09_c08_Җ.png,by_class/Җ/p1_r09_c08_Җ.png
p1_r09_c09_Җ,Җ,1,9,9,cells_raw_100x100/p1_r09_c09_Җ.png,cells_64x64/p1_r09_c09_Җ.png,by_class/Җ/p1_r09_c09_Җ.png
p1_r09_c10_Җ,Җ,1,9,10,cells_raw_100x100/p1_r09_c10_Җ.png,cells_64x64/p1_r09_c10_Җ.png,by_class/Җ/p1_r09_c10_Җ.png
p1_r09_c11_Җ,Җ,1,9,11,cells_raw_100x100/p1_r09_c11_Җ.png,cells_64x64/p1_r09_c11_Җ.png,by_class/Җ/p1_r09_c11_Җ.png
p1_r09_c12_Җ,Җ,1,9,12,cells_raw_100x100/p1_r09_c12_Җ.png,cells_64x64/p1_r09_c12_Җ.png,by_class/Җ/p1_r09_c12_Җ.png
p1_r09_c13_Җ,Җ,1,9,13,cells_raw_100x100/p1_r09_c13_Җ.png,cells_64x64/p1_r09_c13_Җ.png,by_class/Җ/p1_r09_c13_Җ.png
